GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Deep Space Bootcamp Sample App,com.microsoft.tfs.demo,Image,1,24,0,0,1,10,1,7,1,7
Deep Space Bootcamp Sample App,com.microsoft.tfs.demo,ImageService,0,208,1,7,0,45,1,7,0,4
